degree_age_range,state,degree,age_range,estimate,margin_of_error
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Florida,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,60461,3087
25_to_39_years_Physical_and_Related_Sciences,Florida,Physical_and_Related_Sciences,25_to_39_years,55710,2920
25_to_39_years_Psychology,Florida,Psychology,25_to_39_years,49606,2358
25_to_39_years_Social_Sciences,Florida,Social_Sciences,25_to_39_years,58817,4175
25_to_39_years_Engineering,Florida,Engineering,25_to_39_years,74965,2596
25_to_39_years_Multidisciplinary_Studies,Florida,Multidisciplinary_Studies,25_to_39_years,47287,5432
25_to_39_years_Science_and_Engineering_Related_Fields,Florida,Science_and_Engineering_Related_Fields,25_to_39_years,61423,1872
25_to_39_years_Business,Florida,Business,25_to_39_years,64042,1497
25_to_39_years_Education,Florida,Education,25_to_39_years,49144,839
25_to_39_years_Literature_and_Languages,Florida,Literature_and_Languages,25_to_39_years,49076,2727
25_to_39_years_Liberal_Arts_and_History,Florida,Liberal_Arts_and_History,25_to_39_years,50296,7524
25_to_39_years_Visual_and_Performing_Arts,Florida,Visual_and_Performing_Arts,25_to_39_years,41474,2460
25_to_39_years_Communications,Florida,Communications,25_to_39_years,50589,2896
25_to_39_years_Other,Florida,Other,25_to_39_years,52219,968
40_to_64_years_40_to_64_years,Florida,40_to_64_years,40_to_64_years,70410,1002
40_to_64_years_Computers_Mathematics_and_Statistics,Florida,Computers_Mathematics_and_Statistics,40_to_64_years,98041,4613
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Florida,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,91298,5533
40_to_64_years_Physical_and_Related_Sciences,Florida,Physical_and_Related_Sciences,40_to_64_years,87031,7891
40_to_64_years_Psychology,Florida,Psychology,40_to_64_years,61399,2863
40_to_64_years_Social_Sciences,Florida,Social_Sciences,40_to_64_years,72351,3345
40_to_64_years_Engineering,Florida,Engineering,40_to_64_years,100094,6444
40_to_64_years_Multidisciplinary_Studies,Florida,Multidisciplinary_Studies,40_to_64_years,68862,13792
40_to_64_years_Science_and_Engineering_Related_Fields,Florida,Science_and_Engineering_Related_Fields,40_to_64_years,75771,3025
40_to_64_years_Business,Florida,Business,40_to_64_years,73358,1927
40_to_64_years_Education,Florida,Education,40_to_64_years,53417,842
40_to_64_years_Literature_and_Languages,Florida,Literature_and_Languages,40_to_64_years,60397,4226
40_to_64_years_Liberal_Arts_and_History,Florida,Liberal_Arts_and_History,40_to_64_years,64420,2958
40_to_64_years_Visual_and_Performing_Arts,Florida,Visual_and_Performing_Arts,40_to_64_years,55155,3063
40_to_64_years_Communications,Florida,Communications,40_to_64_years,64878,3150
40_to_64_years_Other,Florida,Other,40_to_64_years,65448,3005
Total,Georgia,Total,Total,71622,741
25_to_39_years_25_to_39_years,Georgia,25_to_39_years,25_to_39_years,61933,871
25_to_39_years_Computers_Mathematics_and_Statistics,Georgia,Computers_Mathematics_and_Statistics,25_to_39_years,81935,3988
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Georgia,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,57465,3814
25_to_39_years_Physical_and_Related_Sciences,Georgia,Physical_and_Related_Sciences,25_to_39_years,66599,7133
25_to_39_years_Psychology,Georgia,Psychology,25_to_39_years,51760,2613
25_to_39_years_Social_Sciences,Georgia,Social_Sciences,25_to_39_years,63114,4708
25_to_39_years_Engineering,Georgia,Engineering,25_to_39_years,85794,2715
25_to_39_years_Multidisciplinary_Studies,Georgia,Multidisciplinary_Studies,25_to_39_years,56121,5055
25_to_39_years_Science_and_Engineering_Related_Fields,Georgia,Science_and_Engineering_Related_Fields,25_to_39_years,61759,2346
25_to_39_years_Business,Georgia,Business,25_to_39_years,71468,2249
25_to_39_years_Education,Georgia,Education,25_to_39_years,50986,1765
25_to_39_years_Literature_and_Languages,Georgia,Literature_and_Languages,25_to_39_years,55442,5366
25_to_39_years_Liberal_Arts_and_History,Georgia,Liberal_Arts_and_History,25_to_39_years,57486,6410
25_to_39_years_Visual_and_Performing_Arts,Georgia,Visual_and_Performing_Arts,25_to_39_years,53142,5089
25_to_39_years_Communications,Georgia,Communications,25_to_39_years,55546,5998
25_to_39_years_Other,Georgia,Other,25_to_39_years,50482,3680
40_to_64_years_40_to_64_years,Georgia,40_to_64_years,40_to_64_years,80027,1071
40_to_64_years_Computers_Mathematics_and_Statistics,Georgia,Computers_Mathematics_and_Statistics,40_to_64_years,104178,5559
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Georgia,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,92077,5487
40_to_64_years_Physical_and_Related_Sciences,Georgia,Physical_and_Related_Sciences,40_to_64_years,94609,13055
40_to_64_years_Psychology,Georgia,Psychology,40_to_64_years,64909,3342
40_to_64_years_Social_Sciences,Georgia,Social_Sciences,40_to_64_years,81069,5827
40_to_64_years_Engineering,Georgia,Engineering,40_to_64_years,127809,4041
40_to_64_years_Multidisciplinary_Studies,Georgia,Multidisciplinary_Studies,40_to_64_years,76950,28216
40_to_64_years_Science_and_Engineering_Related_Fields,Georgia,Science_and_Engineering_Related_Fields,40_to_64_years,83030,3060
40_to_64_years_Business,Georgia,Business,40_to_64_years,85724,2438
40_to_64_years_Education,Georgia,Education,40_to_64_years,64018,1559
40_to_64_years_Literature_and_Languages,Georgia,Literature_and_Languages,40_to_64_years,62067,6327
40_to_64_years_Liberal_Arts_and_History,Georgia,Liberal_Arts_and_History,40_to_64_years,69656,6025
40_to_64_years_Visual_and_Performing_Arts,Georgia,Visual_and_Performing_Arts,40_to_64_years,62448,2421
40_to_64_years_Communications,Georgia,Communications,40_to_64_years,77977,5827
40_to_64_years_Other,Georgia,Other,40_to_64_years,69827,5768
Total,Hawaii,Total,Total,70886,1795
25_to_39_years_25_to_39_years,Hawaii,25_to_39_years,25_to_39_years,60249,2335
25_to_39_years_Computers_Mathematics_and_Statistics,Hawaii,Computers_Mathematics_and_Statistics,25_to_39_years,71478,7088
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Hawaii,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,64471,4692
25_to_39_years_Physical_and_Related_Sciences,Hawaii,Physical_and_Related_Sciences,25_to_39_years,59975,22593
25_to_39_years_Psychology,Hawaii,Psychology,25_to_39_years,57539,16142
25_to_39_years_Social_Sciences,Hawaii,Social_Sciences,25_to_39_years,50493,8398
25_to_39_years_Engineering,Hawaii,Engineering,25_to_39_years,82768,9656
25_to_39_years_Multidisciplinary_Studies,Hawaii,Multidisciplinary_Studies,25_to_39_years,61250,18585
25_to_39_years_Science_and_Engineering_Related_Fields,Hawaii,Science_and_Engineering_Related_Fields,25_to_39_years,74637,11431
25_to_39_years_Business,Hawaii,Business,25_to_39_years,59547,6127
25_to_39_years_Education,Hawaii,Education,25_to_39_years,52107,4141
25_to_39_years_Literature_and_Languages,Hawaii,Literature_and_Languages,25_to_39_years,42890,12399
25_to_39_years_Liberal_Arts_and_History,Hawaii,Liberal_Arts_and_History,25_to_39_years,54066,5396
25_to_39_years_Visual_and_Performing_Arts,Hawaii,Visual_and_Performing_Arts,25_to_39_years,36076,3528
25_to_39_years_Communications,Hawaii,Communications,25_to_39_years,57996,12498
25_to_39_years_Other,Hawaii,Other,25_to_39_years,59718,9473
40_to_64_years_40_to_64_years,Hawaii,40_to_64_years,40_to_64_years,79944,2607
40_to_64_years_Computers_Mathematics_and_Statistics,Hawaii,Computers_Mathematics_and_Statistics,40_to_64_years,88484,13549
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Hawaii,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,91444,11598
40_to_64_years_Physical_and_Related_Sciences,Hawaii,Physical_and_Related_Sciences,40_to_64_years,101885,16936
40_to_64_years_Psychology,Hawaii,Psychology,40_to_64_years,74465,6167
40_to_64_years_Social_Sciences,Hawaii,Social_Sciences,40_to_64_years,83229,7354
40_to_64_years_Engineering,Hawaii,Engineering,40_to_64_years,113998,10718
40_to_64_years_Multidisciplinary_Studies,Hawaii,Multidisciplinary_Studies,40_to_64_years,64951,83055
40_to_64_years_Science_and_Engineering_Related_Fields,Hawaii,Science_and_Engineering_Related_Fields,40_to_64_years,94633,9778
40_to_64_years_Business,Hawaii,Business,40_to_64_years,77205,6683
40_to_64_years_Education,Hawaii,Education,40_to_64_years,67859,7296
40_to_64_years_Literature_and_Languages,Hawaii,Literature_and_Languages,40_to_64_years,74127,15351
40_to_64_years_Liberal_Arts_and_History,Hawaii,Liberal_Arts_and_History,40_to_64_years,68952,17798
40_to_64_years_Visual_and_Performing_Arts,Hawaii,Visual_and_Performing_Arts,40_to_64_years,45453,19770
40_to_64_years_Communications,Hawaii,Communications,40_to_64_years,63960,4370
40_to_64_years_Other,Hawaii,Other,40_to_64_years,71827,11785
Total,Idaho,Total,Total,63254,1248
25_to_39_years_25_to_39_years,Idaho,25_to_39_years,25_to_39_years,54167,1667
25_to_39_years_Computers_Mathematics_and_Statistics,Idaho,Computers_Mathematics_and_Statistics,25_to_39_years,85377,15818
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Idaho,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,51716,2466
25_to_39_years_Physical_and_Related_Sciences,Idaho,Physical_and_Related_Sciences,25_to_39_years,55170,14415
25_to_39_years_Psychology,Idaho,Psychology,25_to_39_years,41253,4352
25_to_39_years_Social_Sciences,Idaho,Social_Sciences,25_to_39_years,56165,11553
25_to_39_years_Engineering,Idaho,Engineering,25_to_39_years,87357,6222
25_to_39_years_Multidisciplinary_Studies,Idaho,Multidisciplinary_Studies,25_to_39_years,45313,30981
25_to_39_years_Science_and_Engineering_Related_Fields,Idaho,Science_and_Engineering_Related_Fields,25_to_39_years,54877,9966
25_to_39_years_Business,Idaho,Business,25_to_39_years,64502,7681
25_to_39_years_Education,Idaho,Education,25_to_39_years,44899,4353
25_to_39_years_Literature_and_Languages,Idaho,Literature_and_Languages,25_to_39_years,45885,6211
25_to_39_years_Liberal_Arts_and_History,Idaho,Liberal_Arts_and_History,25_to_39_years,40931,12927
25_to_39_years_Visual_and_Performing_Arts,Idaho,Visual_and_Performing_Arts,25_to_39_years,41177,4932
25_to_39_years_Communications,Idaho,Communications,25_to_39_years,41541,30026
25_to_39_years_Other,Idaho,Other,25_to_39_years,49459,7394
40_to_64_years_40_to_64_years,Idaho,40_to_64_years,40_to_64_years,69210,2609
40_to_64_years_Computers_Mathematics_and_Statistics,Idaho,Computers_Mathematics_and_Statistics,40_to_64_years,83656,17392
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Idaho,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,67961,9135
40_to_64_years_Physical_and_Related_Sciences,Idaho,Physical_and_Related_Sciences,40_to_64_years,96384,18127
40_to_64_years_Psychology,Idaho,Psychology,40_to_64_years,58893,10722
40_to_64_years_Social_Sciences,Idaho,Social_Sciences,40_to_64_years,75158,13745
40_to_64_years_Engineering,Idaho,Engineering,40_to_64_years,112179,13201
40_to_64_years_Multidisciplinary_Studies,Idaho,Multidisciplinary_Studies,40_to_64_years,61077,8602
40_to_64_years_Science_and_Engineering_Related_Fields,Idaho,Science_and_Engineering_Related_Fields,40_to_64_years,65749,7296
40_to_64_years_Business,Idaho,Business,40_to_64_years,88970,8383
40_to_64_years_Education,Idaho,Education,40_to_64_years,57575,4436
40_to_64_years_Literature_and_Languages,Idaho,Literature_and_Languages,40_to_64_years,51434,4282
40_to_64_years_Liberal_Arts_and_History,Idaho,Liberal_Arts_and_History,40_to_64_years,68448,14090
40_to_64_years_Visual_and_Performing_Arts,Idaho,Visual_and_Performing_Arts,40_to_64_years,50681,10099
40_to_64_years_Communications,Idaho,Communications,40_to_64_years,64673,24289
40_to_64_years_Other,Idaho,Other,40_to_64_years,62186,2906
Total,Illinois,Total,Total,76327,690
25_to_39_years_25_to_39_years,Illinois,25_to_39_years,25_to_39_years,67514,1035
25_to_39_years_Computers_Mathematics_and_Statistics,Illinois,Computers_Mathematics_and_Statistics,25_to_39_years,84254,4333
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Illinois,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,65515,3503
25_to_39_years_Physical_and_Related_Sciences,Illinois,Physical_and_Related_Sciences,25_to_39_years,65166,3995
25_to_39_years_Psychology,Illinois,Psychology,25_to_39_years,57901,5964
25_to_39_years_Social_Sciences,Illinois,Social_Sciences,25_to_39_years,71816,4689
25_to_39_years_Engineering,Illinois,Engineering,25_to_39_years,90621,4123
25_to_39_years_Multidisciplinary_Studies,Illinois,Multidisciplinary_Studies,25_to_39_years,62458,6849
25_to_39_years_Science_and_Engineering_Related_Fields,Illinois,Science_and_Engineering_Related_Fields,25_to_39_years,66607,1950
25_to_39_years_Business,Illinois,Business,25_to_39_years,80191,2365
25_to_39_years_Education,Illinois,Education,25_to_39_years,55945,2130
25_to_39_years_Literature_and_Languages,Illinois,Literature_and_Languages,25_to_39_years,55834,5175
25_to_39_years_Liberal_Arts_and_History,Illinois,Liberal_Arts_and_History,25_to_39_years,61603,4215
25_to_39_years_Visual_and_Performing_Arts,Illinois,Visual_and_Performing_Arts,25_to_39_years,49499,4122
25_to_39_years_Communications,Illinois,Communications,25_to_39_years,63547,3473
25_to_39_years_Other,Illinois,Other,25_to_39_years,61619,1657
40_to_64_years_40_to_64_years,Illinois,40_to_64_years,40_to_64_years,85834,979
40_to_64_years_Computers_Mathematics_and_Statistics,Illinois,Computers_Mathematics_and_Statistics,40_to_64_years,103159,2796
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Illinois,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,96621,5192
40_to_64_years_Physical_and_Related_Sciences,Illinois,Physical_and_Related_Sciences,40_to_64_years,100790,5132
40_to_64_years_Psychology,Illinois,Psychology,40_to_64_years,75047,5270
40_to_64_years_Social_Sciences,Illinois,Social_Sciences,40_to_64_years,97584,5344
40_to_64_years_Engineering,Illinois,Engineering,40_to_64_years,123674,4590
40_to_64_years_Multidisciplinary_Studies,Illinois,Multidisciplinary_Studies,40_to_64_years,62232,11803
40_to_64_years_Science_and_Engineering_Related_Fields,Illinois,Science_and_Engineering_Related_Fields,40_to_64_years,84395,2677
40_to_64_years_Business,Illinois,Business,40_to_64_years,93436,2377
40_to_64_years_Education,Illinois,Education,40_to_64_years,65040,1942
40_to_64_years_Literature_and_Languages,Illinois,Literature_and_Languages,40_to_64_years,81223,8624
40_to_64_years_Liberal_Arts_and_History,Illinois,Liberal_Arts_and_History,40_to_64_years,76391,4577
40_to_64_years_Visual_and_Performing_Arts,Illinois,Visual_and_Performing_Arts,40_to_64_years,61545,4543
40_to_64_years_Communications,Illinois,Communications,40_to_64_years,84957,4425
40_to_64_years_Other,Illinois,Other,40_to_64_years,73253,3914
Total,Indiana,Total,Total,64474,858
25_to_39_years_25_to_39_years,Indiana,25_to_39_years,25_to_39_years,55574,1435
25_to_39_years_Computers_Mathematics_and_Statistics,Indiana,Computers_Mathematics_and_Statistics,25_to_39_years,68874,4220
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Indiana,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,58560,5513
25_to_39_years_Physical_and_Related_Sciences,Indiana,Physical_and_Related_Sciences,25_to_39_years,61168,4637
25_to_39_years_Psychology,Indiana,Psychology,25_to_39_years,50682,2938
25_to_39_years_Social_Sciences,Indiana,Social_Sciences,25_to_39_years,50487,4350
25_to_39_years_Engineering,Indiana,Engineering,25_to_39_years,83197,3294
25_to_39_years_Multidisciplinary_Studies,Indiana,Multidisciplinary_Studies,25_to_39_years,51798,11599
25_to_39_years_Science_and_Engineering_Related_Fields,Indiana,Science_and_Engineering_Related_Fields,25_to_39_years,63279,2433
25_to_39_years_Business,Indiana,Business,25_to_39_years,66513,2375
25_to_39_years_Education,Indiana,Education,25_to_39_years,47086,967
25_to_39_years_Literature_and_Languages,Indiana,Literature_and_Languages,25_to_39_years,42324,5818
25_to_39_years_Liberal_Arts_and_History,Indiana,Liberal_Arts_and_History,25_to_39_years,47718,4743
25_to_39_years_Visual_and_Performing_Arts,Indiana,Visual_and_Performing_Arts,25_to_39_years,43216,3021
25_to_39_years_Communications,Indiana,Communications,25_to_39_years,52590,6237
25_to_39_years_Other,Indiana,Other,25_to_39_years,51481,1603
40_to_64_years_40_to_64_years,Indiana,40_to_64_years,40_to_64_years,73396,1620
40_to_64_years_Computers_Mathematics_and_Statistics,Indiana,Computers_Mathematics_and_Statistics,40_to_64_years,101124,7784
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Indiana,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,90621,12332
40_to_64_years_Physical_and_Related_Sciences,Indiana,Physical_and_Related_Sciences,40_to_64_years,90460,12587
40_to_64_years_Psychology,Indiana,Psychology,40_to_64_years,55652,6723
40_to_64_years_Social_Sciences,Indiana,Social_Sciences,40_to_64_years,73828,6877
40_to_64_years_Engineering,Indiana,Engineering,40_to_64_years,110806,4684
40_to_64_years_Multidisciplinary_Studies,Indiana,Multidisciplinary_Studies,40_to_64_years,80162,21397
40_to_64_years_Science_and_Engineering_Related_Fields,Indiana,Science_and_Engineering_Related_Fields,40_to_64_years,81449,2726
40_to_64_years_Business,Indiana,Business,40_to_64_years,79386,3587
40_to_64_years_Education,Indiana,Education,40_to_64_years,57452,1911
40_to_64_years_Literature_and_Languages,Indiana,Literature_and_Languages,40_to_64_years,60773,6097
40_to_64_years_Liberal_Arts_and_History,Indiana,Liberal_Arts_and_History,40_to_64_years,57896,6014
40_to_64_years_Visual_and_Performing_Arts,Indiana,Visual_and_Performing_Arts,40_to_64_years,46633,3609
40_to_64_years_Communications,Indiana,Communications,40_to_64_years,61480,5013
40_to_64_years_Other,Indiana,Other,40_to_64_years,65950,3214
Total,Iowa,Total,Total,65295,1074
25_to_39_years_25_to_39_years,Iowa,25_to_39_years,25_to_39_years,57861,1850
25_to_39_years_Computers_Mathematics_and_Statistics,Iowa,Computers_Mathematics_and_Statistics,25_to_39_years,63927,16305
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Iowa,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,56998,4496
25_to_39_years_Physical_and_Related_Sciences,Iowa,Physical_and_Related_Sciences,25_to_39_years,50347,10596
25_to_39_years_Psychology,Iowa,Psychology,25_to_39_years,51775,3208
25_to_39_years_Social_Sciences,Iowa,Social_Sciences,25_to_39_years,57877,8887
25_to_39_years_Engineering,Iowa,Engineering,25_to_39_years,80929,3115
25_to_39_years_Multidisciplinary_Studies,Iowa,Multidisciplinary_Studies,25_to_39_years,50161,18457
25_to_39_years_Science_and_Engineering_Related_Fields,Iowa,Science_and_Engineering_Related_Fields,25_to_39_years,62547,3169
25_to_39_years_Business,Iowa,Business,25_to_39_years,69840,3735
25_to_39_years_Education,Iowa,Education,25_to_39_years,50126,2021
25_to_39_years_Literature_and_Languages,Iowa,Literature_and_Languages,25_to_39_years,44113,4368
25_to_39_years_Liberal_Arts_and_History,Iowa,Liberal_Arts_and_History,25_to_39_years,50498,7920
25_to_39_years_Visual_and_Performing_Arts,Iowa,Visual_and_Performing_Arts,25_to_39_years,46087,6131
25_to_39_years_Communications,Iowa,Communications,25_to_39_years,50004,4110
25_to_39_years_Other,Iowa,Other,25_to_39_years,52522,3274
40_to_64_years_40_to_64_years,Iowa,40_to_64_years,40_to_64_years,72564,1317
40_to_64_years_Computers_Mathematics_and_Statistics,Iowa,Computers_Mathematics_and_Statistics,40_to_64_years,100457,14391
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Iowa,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,78860,7284
40_to_64_years_Physical_and_Related_Sciences,Iowa,Physical_and_Related_Sciences,40_to_64_years,97242,26393
40_to_64_years_Psychology,Iowa,Psychology,40_to_64_years,68088,4588
40_to_64_years_Social_Sciences,Iowa,Social_Sciences,40_to_64_years,69303,9976
40_to_64_years_Engineering,Iowa,Engineering,40_to_64_years,110510,8155
40_to_64_years_Multidisciplinary_Studies,Iowa,Multidisciplinary_Studies,40_to_64_years,50875,34852
40_to_64_years_Science_and_Engineering_Related_Fields,Iowa,Science_and_Engineering_Related_Fields,40_to_64_years,77655,6198
40_to_64_years_Business,Iowa,Business,40_to_64_years,81109,3171
40_to_64_years_Education,Iowa,Education,40_to_64_years,60969,1360
40_to_64_years_Literature_and_Languages,Iowa,Literature_and_Languages,40_to_64_years,58627,8580
40_to_64_years_Liberal_Arts_and_History,Iowa,Liberal_Arts_and_History,40_to_64_years,66597,4806
40_to_64_years_Visual_and_Performing_Arts,Iowa,Visual_and_Performing_Arts,40_to_64_years,47291,9465
40_to_64_years_Communications,Iowa,Communications,40_to_64_years,64297,9920
40_to_64_years_Other,Iowa,Other,40_to_64_years,59409,5184
Total,Kansas,Total,Total,64195,964
25_to_39_years_25_to_39_years,Kansas,25_to_39_years,25_to_39_years,58345,1511
25_to_39_years_Computers_Mathematics_and_Statistics,Kansas,Computers_Mathematics_and_Statistics,25_to_39_years,76914,8457
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Kansas,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,55368,6322
25_to_39_years_Physical_and_Related_Sciences,Kansas,Physical_and_Related_Sciences,25_to_39_years,63001,12944
25_to_39_years_Psychology,Kansas,Psychology,25_to_39_years,49307,5548
25_to_39_years_Social_Sciences,Kansas,Social_Sciences,25_to_39_years,63670,11116
25_to_39_years_Engineering,Kansas,Engineering,25_to_39_years,84264,7550
25_to_39_years_Multidisciplinary_Studies,Kansas,Multidisciplinary_Studies,25_to_39_years,49167,24410
25_to_39_years_Science_and_Engineering_Related_Fields,Kansas,Science_and_Engineering_Related_Fields,25_to_39_years,61241,2622
25_to_39_years_Business,Kansas,Business,25_to_39_years,63845,2173
25_to_39_years_Education,Kansas,Education,25_to_39_years,50387,1502
25_to_39_years_Literature_and_Languages,Kansas,Literature_and_Languages,25_to_39_years,40478,5575
25_to_39_years_Liberal_Arts_and_History,Kansas,Liberal_Arts_and_History,25_to_39_years,50444,6439
25_to_39_years_Visual_and_Performing_Arts,Kansas,Visual_and_Performing_Arts,25_to_39_years,48100,7462
25_to_39_years_Communications,Kansas,Communications,25_to_39_years,52878,7780
25_to_39_years_Other,Kansas,Other,25_to_39_years,52744,2517
40_to_64_years_40_to_64_years,Kansas,40_to_64_years,40_to_64_years,72166,2153
40_to_64_years_Computers_Mathematics_and_Statistics,Kansas,Computers_Mathematics_and_Statistics,40_to_64_years,94701,11765
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Kansas,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,83777,4380
40_to_64_years_Physical_and_Related_Sciences,Kansas,Physical_and_Related_Sciences,40_to_64_years,80574,13464
40_to_64_years_Psychology,Kansas,Psychology,40_to_64_years,56686,3080
40_to_64_years_Social_Sciences,Kansas,Social_Sciences,40_to_64_years,82588,8418
40_to_64_years_Engineering,Kansas,Engineering,40_to_64_years,115873,8350
40_to_64_years_Multidisciplinary_Studies,Kansas,Multidisciplinary_Studies,40_to_64_years,60407,52105
40_to_64_years_Science_and_Engineering_Related_Fields,Kansas,Science_and_Engineering_Related_Fields,40_to_64_years,76834,2863
40_to_64_years_Business,Kansas,Business,40_to_64_years,81373,4565
40_to_64_years_Education,Kansas,Education,40_to_64_years,54286,1807
40_to_64_years_Literature_and_Languages,Kansas,Literature_and_Languages,40_to_64_years,60249,4986
40_to_64_years_Liberal_Arts_and_History,Kansas,Liberal_Arts_and_History,40_to_64_years,70429,8058
40_to_64_years_Visual_and_Performing_Arts,Kansas,Visual_and_Performing_Arts,40_to_64_years,56004,3290
40_to_64_years_Communications,Kansas,Communications,40_to_64_years,70603,6599
40_to_64_years_Other,Kansas,Other,40_to_64_years,61693,8900
Total,Kentucky,Total,Total,62061,1033
25_to_39_years_25_to_39_years,Kentucky,25_to_39_years,25_to_39_years,53559,1084
25_to_39_years_Computers_Mathematics_and_Statistics,Kentucky,Computers_Mathematics_and_Statistics,25_to_39_years,66263,5601
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Kentucky,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,57727,4553
25_to_39_years_Physical_and_Related_Sciences,Kentucky,Physical_and_Related_Sciences,25_to_39_years,54381,8041
25_to_39_years_Psychology,Kentucky,Psychology,25_to_39_years,45554,4984
25_to_39_years_Social_Sciences,Kentucky,Social_Sciences,25_to_39_years,50630,3400
25_to_39_years_Engineering,Kentucky,Engineering,25_to_39_years,91290,5743
25_to_39_years_Multidisciplinary_Studies,Kentucky,Multidisciplinary_Studies,25_to_39_years,36189,10550
25_to_39_years_Science_and_Engineering_Related_Fields,Kentucky,Science_and_Engineering_Related_Fields,25_to_39_years,64320,3442
25_to_39_years_Business,Kentucky,Business,25_to_39_years,58864,4300
25_to_39_years_Education,Kentucky,Education,25_to_39_years,44486,1534
25_to_39_years_Literature_and_Languages,Kentucky,Literature_and_Languages,25_to_39_years,46271,3586
25_to_39_years_Liberal_Arts_and_History,Kentucky,Liberal_Arts_and_History,25_to_39_years,44737,5148
25_to_39_years_Visual_and_Performing_Arts,Kentucky,Visual_and_Performing_Arts,25_to_39_years,40920,2822
25_to_39_years_Communications,Kentucky,Communications,25_to_39_years,50596,5501
25_to_39_years_Other,Kentucky,Other,25_to_39_years,48028,3592
40_to_64_years_40_to_64_years,Kentucky,40_to_64_years,40_to_64_years,70642,1804
40_to_64_years_Computers_Mathematics_and_Statistics,Kentucky,Computers_Mathematics_and_Statistics,40_to_64_years,100688,11949
40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Kentucky,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,95485,19408
40_to_64_years_Physical_and_Related_Sciences,Kentucky,Physical_and_Related_Sciences,40_to_64_years,82335,6186
40_to_64_years_Psychology,Kentucky,Psychology,40_to_64_years,58069,8079
40_to_64_years_Social_Sciences,Kentucky,Social_Sciences,40_to_64_years,77025,6727
40_to_64_years_Engineering,Kentucky,Engineering,40_to_64_years,124115,4203
40_to_64_years_Multidisciplinary_Studies,Kentucky,Multidisciplinary_Studies,40_to_64_years,49367,12357
40_to_64_years_Science_and_Engineering_Related_Fields,Kentucky,Science_and_Engineering_Related_Fields,40_to_64_years,77336,3607
40_to_64_years_Business,Kentucky,Business,40_to_64_years,76494,3280
40_to_64_years_Education,Kentucky,Education,40_to_64_years,56842,1981
40_to_64_years_Literature_and_Languages,Kentucky,Literature_and_Languages,40_to_64_years,55720,6405
40_to_64_years_Liberal_Arts_and_History,Kentucky,Liberal_Arts_and_History,40_to_64_years,66401,9185
40_to_64_years_Visual_and_Performing_Arts,Kentucky,Visual_and_Performing_Arts,40_to_64_years,61258,8713
40_to_64_years_Communications,Kentucky,Communications,40_to_64_years,59459,5081
40_to_64_years_Other,Kentucky,Other,40_to_64_years,55659,7550
Total,Louisiana,Total,Total,61501,1262
25_to_39_years_25_to_39_years,Louisiana,25_to_39_years,25_to_39_years,54348,1308
25_to_39_years_Computers_Mathematics_and_Statistics,Louisiana,Computers_Mathematics_and_Statistics,25_to_39_years,54804,16545
25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Louisiana,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,64475,7344
25_to_39_years_Physical_and_Related_Sciences,Louisiana,Physical_and_Related_Sciences,25_to_39_years,55883,10163
25_to_39_years_Psychology,Louisiana,Psychology,25_to_39_years,46021,4860
25_to_39_years_Social_Sciences,Louisiana,Social_Sciences,25_to_39_years,65249,8125
25_to_39_years_Engineering,Louisiana,Engineering,25_to_39_years,88923,10014
