"VariableName","Value","ValueLabel"
"Data Feedback Report comparison group created by NCES (HD2020)","77","Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional, public/2 of 3"
"Data Feedback Report comparison group created by NCES (HD2020)","78","Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional, public/3 of 3"
"Data Feedback Report comparison group created by NCES (HD2020)","79","Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional, public/1 of 3"
"Data Feedback Report comparison group created by NCES (HD2020)","80","Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional, public/2 of 3"
"Data Feedback Report comparison group created by NCES (HD2020)","81","Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional, public/3 of 3"
"Data Feedback Report comparison group created by NCES (HD2020)","82","Associate's Colleges: High Career & Technical-High Traditional, public/1 of 2"
"Data Feedback Report comparison group created by NCES (HD2020)","83","Associate's Colleges: High Career & Technical-High Traditional, public/2 of 2"
"Data Feedback Report comparison group created by NCES (HD2020)","84","Associate's Colleges: High Career & Technical-High Traditional, private for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","85","Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional, public/1 of 2"
"Data Feedback Report comparison group created by NCES (HD2020)","86","Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional, public/2 of 2"
"Data Feedback Report comparison group created by NCES (HD2020)","87","Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional, private for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","88","Associate's Colleges: High Career & Technical-High Nontraditional, public/1 of 2"
"Data Feedback Report comparison group created by NCES (HD2020)","89","Associate's Colleges: High Career & Technical-High Nontraditional, public/2 of 2"
"Data Feedback Report comparison group created by NCES (HD2020)","90","Associate's Colleges: High Career & Technical-High Nontraditional, private for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","91","Associate colleges: High/Mixed Transfer, private not-for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","92","Associate colleges: High Career & Technical, private not-for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","176","Special Focus Two Year: any program, public"
"Data Feedback Report comparison group created by NCES (HD2020)","177","Special Focus Two Year: Health, private not-for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","178","Special Focus Two Year: Health, private for-profit/1 of 5"
"Data Feedback Report comparison group created by NCES (HD2020)","179","Special Focus Two Year: Health, private for-profit/2 of 5"
"Data Feedback Report comparison group created by NCES (HD2020)","180","Special Focus Two Year: Health, private for-profit/3 of 5"
"Data Feedback Report comparison group created by NCES (HD2020)","181","Special Focus Two Year: Health, private for-profit/4 of 5"
"Data Feedback Report comparison group created by NCES (HD2020)","182","Special Focus Two Year: Health, private for-profit/5 of 5"
"Data Feedback Report comparison group created by NCES (HD2020)","183","Special Focus Two Year: Technical, private not-for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","184","Special Focus Two Year: Technical, private for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","185","Special Focus Two Year: Art & Design, private not-for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","186","Special Focus Two Year: Art & Design, private for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","220","Other Associate's Colleges, public"
"Data Feedback Report comparison group created by NCES (HD2020)","187","Special Focus Two Year: Other, private not-for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","221","Other Associate's Colleges, private not-for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","188","Special Focus Two Year: Other, private for-profit"
"Data Feedback Report comparison group created by NCES (HD2020)","222","Other Associate's Colleges, private for-profit/1 of 3"
"Data Feedback Report comparison group created by NCES (HD2020)","223","Other Associate's Colleges, private for-profit/2 of 3"
"Data Feedback Report comparison group created by NCES (HD2020)","224","Other Associate's Colleges, private for-profit/3 of 3"
"Data Feedback Report comparison group created by NCES (HD2020)","175","Tribal Colleges"
"Data Feedback Report comparison group created by NCES (HD2020)","209","U.S. Military Academies"
"Data Feedback Report comparison group created by NCES (HD2020)","1","Nondegree-granting, public, academic year reporter"
"Data Feedback Report comparison group created by NCES (HD2020)","2","Nondegree-granting, public, largest program - cosmetology"
"Data Feedback Report comparison group created by NCES (HD2020)","3","Nondegree-granting, public, largest program - health/1 of 7"
"Data Feedback Report comparison group created by NCES (HD2020)","4","Nondegree-granting, public, largest program - health/2 of 7"
"Data Feedback Report comparison group created by NCES (HD2020)","5","Nondegree-granting, public, largest program - health/3 of 7"
"Data Feedback Report comparison group created by NCES (HD2020)","6","Nondegree-granting, public, largest program - health/4 of 7"
"Data Feedback Report comparison group created by NCES (HD2020)","7","Nondegree-granting, public, largest program - health/5 of 7"
"Data Feedback Report comparison group created by NCES (HD2020)","8","Nondegree-granting, public, largest program - health/6 of 7"
"Data Feedback Report comparison group created by NCES (HD2020)","9","Nondegree-granting, public, largest program - health/7 of 7"
"Data Feedback Report comparison group created by NCES (HD2020)","210","Nondegree-granting, public, largest program - engineering and engineering technologies"
"Data Feedback Report comparison group created by NCES (HD2020)","211","Nondegree-granting, public  largest program - manufacturing, construction, repair, and transportation"
"Data Feedback Report comparison group created by NCES (HD2020)","10","Nondegree-granting, public, largest program - other"
"Data Feedback Report comparison group created by NCES (HD2020)","11","Nondegree-granting, private not-for-profit, academic year reporter"
"Data Feedback Report comparison group created by NCES (HD2020)","12","Nondegree-granting, private not-for-profit, largest program - cosmetology"
"Data Feedback Report comparison group created by NCES (HD2020)","13","Nondegree-granting, private not-for-profit, largest program - health"
"Data Feedback Report comparison group created by NCES (HD2020)","14","Nondegree-granting, private not-for-profit, largest program - other"
"Data Feedback Report comparison group created by NCES (HD2020)","212","Nondegree-granting, private not-for-profit, largest program - manufacturing, construction, repair, and transportation"
"Data Feedback Report comparison group created by NCES (HD2020)","15","Nondegree-granting, for-profit, academic year reporter"
"Data Feedback Report comparison group created by NCES (HD2020)","16","Nondegree-granting, private for-profit,  largest program - cosmetology/1 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","17","Nondegree-granting, private for-profit,  largest program - cosmetology/2 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","18","Nondegree-granting, private for-profit,  largest program - cosmetology/3 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","19","Nondegree-granting, private for-profit,  largest program - cosmetology/4 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","20","Nondegree-granting, private for-profit,  largest program - cosmetology/5 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","21","Nondegree-granting, private for-profit,  largest program - cosmetology/6 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","22","Nondegree-granting, private for-profit,  largest program - cosmetology/7 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","23","Nondegree-granting, private for-profit,  largest program - cosmetology/8 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","24","Nondegree-granting, private for-profit,  largest program - cosmetology/9 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","25","Nondegree-granting, private for-profit,  largest program - cosmetology/10 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","26","Nondegree-granting, private for-profit,  largest program - cosmetology/11 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","27","Nondegree-granting, private for-profit,  largest program - cosmetology/12 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","28","Nondegree-granting, private for-profit,  largest program - cosmetology/13 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","29","Nondegree-granting, private for-profit,  largest program - cosmetology/14 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","30","Nondegree-granting, private for-profit,  largest program - cosmetology/15 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","31","Nondegree-granting, private for-profit,  largest program - cosmetology/16 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","32","Nondegree-granting, private for-profit,  largest program - cosmetology/17 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","33","Nondegree-granting, private for-profit, largest program - cosmetology/18 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","34","Nondegree-granting, private for-profit, largest program - cosmetology/19 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","35","Nondegree-granting, private for-profit, largest program - cosmetology/20 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","36","Nondegree-granting, private for-profit, largest program - cosmetology/21 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","37","Nondegree-granting, private for-profit, largest program - cosmetology/22 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","38","Nondegree-granting, private for-profit, largest program - cosmetology/23 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","39","Nondegree-granting, private for-profit, largest program - cosmetology/24 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","40","Nondegree-granting, private for-profit, largest program - cosmetology/25 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","41","Nondegree-granting, private for-profit, largest program - cosmetology/26 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","42","Nondegree-granting, private for-profit, largest program - cosmetology/27 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","43","Nondegree-granting, private for-profit, largest program - cosmetology/28 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","44","Nondegree-granting, private for-profit, largest program - cosmetology/29 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","45","Nondegree-granting, private for-profit, largest program - cosmetology/30 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","46","Nondegree-granting, private for-profit, largest program - cosmetology/31 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","47","Nondegree-granting, private for-profit, largest program - cosmetology/32 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","48","Nondegree-granting, private for-profit, largest program - cosmetology/33 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","49","Nondegree-granting, private for-profit, largest program - cosmetology/34 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","50","Nondegree-granting, private for-profit, largest program - cosmetology/35 of 35"
"Data Feedback Report comparison group created by NCES (HD2020)","51","Nondegree-granting, private for-profit, largest program - health/1 of 9"
"Data Feedback Report comparison group created by NCES (HD2020)","52","Nondegree-granting, private for-profit, largest program - health/2 of 9"
"Data Feedback Report comparison group created by NCES (HD2020)","53","Nondegree-granting, private for-profit, largest program - health/3 of 9"
"Data Feedback Report comparison group created by NCES (HD2020)","54","Nondegree-granting, private for-profit, largest program - health/4 of 9"
"Data Feedback Report comparison group created by NCES (HD2020)","55","Nondegree-granting, private for-profit, largest program - health/5 of 9"
"Data Feedback Report comparison group created by NCES (HD2020)","56","Nondegree-granting, private for-profit, largest program - health/6 of 9"
"Data Feedback Report comparison group created by NCES (HD2020)","57","Nondegree-granting, private for-profit, largest program - health/7 of 9"
"Data Feedback Report comparison group created by NCES (HD2020)","58","Nondegree-granting, private for-profit, largest program - health/8 of 9"
"Data Feedback Report comparison group created by NCES (HD2020)","59","Nondegree-granting, private for-profit, largest program - health/9 of 9"
"Data Feedback Report comparison group created by NCES (HD2020)","60","Nondegree-granting, private for-profit, largest program - other"
"Data Feedback Report comparison group created by NCES (HD2020)","213","Nondegree-granting, private for-profit, largest program - communications and communication technologies"
"Data Feedback Report comparison group created by NCES (HD2020)","214","Nondegree-granting, private for-profit, largest program - engineering and engineering technologies"
"Data Feedback Report comparison group created by NCES (HD2020)","215","Nondegree-granting, private for-profit, largest program - manufacturing, construction, repair, and transportation/1 of 3"
"Data Feedback Report comparison group created by NCES (HD2020)","216","Nondegree-granting, private for-profit, largest program - manufacturing, construction, repair, and transportation/2 of 3"
"Data Feedback Report comparison group created by NCES (HD2020)","217","Nondegree-granting, private for-profi,t largest program - manufacturing, construction, repair, and transportation/3 of 3"
"Data Feedback Report comparison group created by NCES (HD2020)","226","Degree-granting four year, public in Puerto Rico"
"Data Feedback Report comparison group created by NCES (HD2020)","227","Degree-granting, private not-for-profit in Puerto Rico/1 of 2"
"Data Feedback Report comparison group created by NCES (HD2020)","228","Degree-granting, private not-for-profit in Puerto Rico/2 of 2"
"Data Feedback Report comparison group created by NCES (HD2020)","229","Degree-granting, private for-profit in Puerto Rico"
"Data Feedback Report comparison group created by NCES (HD2020)","230","Nondegree-granting private for-profit or not-for-profit in Puerto Rico/1 of 2"
"Data Feedback Report comparison group created by NCES (HD2020)","231","Nondegree-granting private for-profit or not-for-profit in Puerto Rico/2 of 2"
"Data Feedback Report comparison group created by NCES (HD2020)","218","Degree-granting 4-year in jurisdictions other than Puerto Rico"
"Data Feedback Report comparison group created by NCES (HD2020)","219","Less-than 4-year public in Puerto Rico or other jurisdictions"
"Data Feedback Report comparison group created by NCES (HD2020)","205","Non-Title IV, degree-granting"
"Data Feedback Report comparison group created by NCES (HD2020)","206","Non-Title IV, nondegree-granting, the largest program-cosmetology"
"Data Feedback Report comparison group created by NCES (HD2020)","207","Non-Title IV, nondegree-granting, the largest program-health"
"Data Feedback Report comparison group created by NCES (HD2020)","208","Non-Title IV, nondegree-granting"
"Data Feedback Report comparison group created by NCES (HD2020)","-1","Not reported"
"Data Feedback Report comparison group created by NCES (HD2020)","-2","Not applicable"
"Carnegie Classification 2015: Basic (HD2020)","1","Associate's Colleges: High Transfer-High Traditional"
"Carnegie Classification 2015: Basic (HD2020)","2","Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional"
"Carnegie Classification 2015: Basic (HD2020)","3","Associate's Colleges: High Transfer-High Nontraditional"
"Carnegie Classification 2015: Basic (HD2020)","4","Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional"
"Carnegie Classification 2015: Basic (HD2020)","5","Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional"
"Carnegie Classification 2015: Basic (HD2020)","6","Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional"
"Carnegie Classification 2015: Basic (HD2020)","7","Associate's Colleges: High Career & Technical-High Traditional"
"Carnegie Classification 2015: Basic (HD2020)","8","Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional"
"Carnegie Classification 2015: Basic (HD2020)","9","Associate's Colleges: High Career & Technical-High Nontraditional"
"Carnegie Classification 2015: Basic (HD2020)","10","Special Focus Two-Year: Health Professions"
"Carnegie Classification 2015: Basic (HD2020)","11","Special Focus Two-Year: Technical Professions"
"Carnegie Classification 2015: Basic (HD2020)","12","Special Focus Two-Year: Arts & Design"
"Carnegie Classification 2015: Basic (HD2020)","13","Special Focus Two-Year: Other Fields"
"Carnegie Classification 2015: Basic (HD2020)","14","Baccalaureate/Associate's Colleges: Associate's Dominant"
"Carnegie Classification 2015: Basic (HD2020)","15","Doctoral Universities: Highest Research Activity"
"Carnegie Classification 2015: Basic (HD2020)","16","Doctoral Universities: Higher Research Activity"
"Carnegie Classification 2015: Basic (HD2020)","17","Doctoral Universities: Moderate Research Activity"
"Carnegie Classification 2015: Basic (HD2020)","18","Master's Colleges & Universities: Larger Programs"
"Carnegie Classification 2015: Basic (HD2020)","19","Master's Colleges & Universities: Medium Programs"
"Carnegie Classification 2015: Basic (HD2020)","20","Master's Colleges & Universities: Small Programs"
"Carnegie Classification 2015: Basic (HD2020)","21","Baccalaureate Colleges: Arts & Sciences Focus"
"Carnegie Classification 2015: Basic (HD2020)","22","Baccalaureate Colleges: Diverse Fields"
"Carnegie Classification 2015: Basic (HD2020)","23","Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's"
"Carnegie Classification 2015: Basic (HD2020)","24","Special Focus Four-Year: Faith-Related Institutions"
"Carnegie Classification 2015: Basic (HD2020)","25","Special Focus Four-Year: Medical Schools & Centers"
"Carnegie Classification 2015: Basic (HD2020)","26","Special Focus Four-Year: Other Health Professions Schools"
"Carnegie Classification 2015: Basic (HD2020)","27","Special Focus Four-Year: Engineering Schools"
"Carnegie Classification 2015: Basic (HD2020)","28","Special Focus Four-Year: Other Technology-Related Schools"
"Carnegie Classification 2015: Basic (HD2020)","29","Special Focus Four-Year: Business & Management Schools"
"Carnegie Classification 2015: Basic (HD2020)","30","Special Focus Four-Year: Arts, Music & Design Schools"
"Carnegie Classification 2015: Basic (HD2020)","31","Special Focus Four-Year: Law Schools"
"Carnegie Classification 2015: Basic (HD2020)","32","Special Focus Four-Year: Other Special Focus Institutions"
"Carnegie Classification 2015: Basic (HD2020)","33","Tribal Colleges"
"Carnegie Classification 2015: Basic (HD2020)","-2","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)"
"Carnegie Classification 2018: Undergraduate Instructional Program (HD2020)","1","Associate's Colleges: High Transfer"
"Carnegie Classification 2018: Undergraduate Instructional Program (HD2020)","2","Associate's Colleges: Mixed Transfer/Career & Technical"
"Carnegie Classification 2018: Undergraduate Instructional Program (HD2020)","3","Associate's Colleges: High Career & Technical"
"Carnegie Classification 2018: Undergraduate Instructional Program (HD2020)","4","Special Focus: Two-Year Institution"
"Carnegie Classification 2018: Undergraduate Instructional Program (HD2020)","5","Baccalaureate/Associates Colleges"
"Carnegie Classification 2018: Undergraduate Instructional Program (HD2020)","6","Arts & sciences focus, no graduate coexistence"
"Carnegie Classification 2018: Undergraduate Instructional Program (HD2020)","7","Arts & sciences focus, some graduate coexistence"
"Carnegie Classification 2018: Undergraduate Instructional Program (HD2020)","8","Arts & sciences focus, high graduate coexistence"
"Carnegie Classification 2018: Undergraduate Instructional Program (HD2020)","9","Arts & sciences plus professions, no graduate coexistence"
"Carnegie Classification 2018: Undergraduate Instructional Program (HD2020)","10","Arts & sciences plus professions, some graduate coexistence"
"Carnegie Classification 2018: Undergraduate Instructional Program (HD2020)","11","Arts & sciences plus professions, high graduate coexistence"
"Carnegie Classification 2018: Undergraduate Instructional Program (HD2020)","12","Balanced arts & sciences/professions, no graduate coexistence"
"Carnegie Classification 2018: Undergraduate Instructional Program (HD2020)","13","Balanced arts & sciences/professions, some graduate coexistence"
"Carnegie Classification 2018: Undergraduate Instructional Program (HD2020)","14","Balanced arts & sciences/professions, high graduate coexistence"
"Carnegie Classification 2018: Undergraduate Instructional Program (HD2020)","15","Professions plus arts & sciences, no graduate coexistence"
"Carnegie Classification 2018: Undergraduate Instructional Program (HD2020)","16","Professions plus arts & sciences, some graduate coexistence"
"Carnegie Classification 2018: Undergraduate Instructional Program (HD2020)","17","Professions plus arts & sciences, high graduate coexistence"
"Carnegie Classification 2018: Undergraduate Instructional Program (HD2020)","18","Professions focus, no graduate coexistence"
"Carnegie Classification 2018: Undergraduate Instructional Program (HD2020)","19","Professions focus, some graduate coexistence"
"Carnegie Classification 2018: Undergraduate Instructional Program (HD2020)","20","Professions focus, high graduate coexistence"
"Carnegie Classification 2018: Undergraduate Instructional Program (HD2020)","0","Not Classified (Exclusively Graduate Programs)"
"Carnegie Classification 2018: Undergraduate Instructional Program (HD2020)","-2","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)"
"Carnegie Classification 2018: Graduate Instructional Program (HD2020)","1","Postbaccalaureate: Single program-Education"
"Carnegie Classification 2018: Graduate Instructional Program (HD2020)","2","Postbaccalaureate: Single program-Business"
"Carnegie Classification 2018: Graduate Instructional Program (HD2020)","3","Postbaccalaureate: Single program-Other"
"Carnegie Classification 2018: Graduate Instructional Program (HD2020)","4","Postbaccalaureate: Comprehensive programs"
"Carnegie Classification 2018: Graduate Instructional Program (HD2020)","5","Postbaccalaureate: Arts & sciences-dominant"
"Carnegie Classification 2018: Graduate Instructional Program (HD2020)","6","Postbaccalaureate: Education-dominant, with Arts & Sciences"
"Carnegie Classification 2018: Graduate Instructional Program (HD2020)","7","Postbaccalaureate: Business-dominant, with Arts & Sciences"
"Carnegie Classification 2018: Graduate Instructional Program (HD2020)","8","Postbaccalaureate: Other-dominant, with Arts & Sciences"
"Carnegie Classification 2018: Graduate Instructional Program (HD2020)","9","Postbaccalaureate: Education-dominant, with other professional programs"
"Carnegie Classification 2018: Graduate Instructional Program (HD2020)","10","Postbaccalaureate: Business-dominant, with other professional programs"
"Carnegie Classification 2018: Graduate Instructional Program (HD2020)","11","Postbaccalaureate: Other-dominant, with other professional programs"
"Carnegie Classification 2018: Graduate Instructional Program (HD2020)","12","Research Doctoral: Single program-Education"
"Carnegie Classification 2018: Graduate Instructional Program (HD2020)","13","Research Doctoral: Single program-Other"
"Carnegie Classification 2018: Graduate Instructional Program (HD2020)","14","Research Doctoral: Comprehensive programs, with medical/veterinary school"
"Carnegie Classification 2018: Graduate Instructional Program (HD2020)","15","Research Doctoral: Comprehensive programs, no medical/veterinary school"
"Carnegie Classification 2018: Graduate Instructional Program (HD2020)","16","Research Doctoral: Humanities/social sciences-dominant"
"Carnegie Classification 2018: Graduate Instructional Program (HD2020)","17","Research Doctoral: STEM-dominant"
"Carnegie Classification 2018: Graduate Instructional Program (HD2020)","18","Research Doctoral: Professional-dominant"
"Carnegie Classification 2018: Graduate Instructional Program (HD2020)","0","Not classified (Exclusively Undergraduate)"
"Carnegie Classification 2018: Graduate Instructional Program (HD2020)","-2","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)"
"Carnegie Classification 2018: Undergraduate Profile (HD2020)","1","Two-year, higher part-time"
"Carnegie Classification 2018: Undergraduate Profile (HD2020)","2","Two-year, mixed part/full-time"
"Carnegie Classification 2018: Undergraduate Profile (HD2020)","3","Two-year, medium full-time"
"Carnegie Classification 2018: Undergraduate Profile (HD2020)","4","Two-year, higher full-time"
"Carnegie Classification 2018: Undergraduate Profile (HD2020)","5","Four-year, higher part-time"
"Carnegie Classification 2018: Undergraduate Profile (HD2020)","6","Four-year, medium full-time, inclusive, lower transfer-in"
"Carnegie Classification 2018: Undergraduate Profile (HD2020)","7","Four-year, medium full-time, inclusive, higher transfer-in"
"Carnegie Classification 2018: Undergraduate Profile (HD2020)","8","Four-year, medium full-time, selective, lower transfer-in"
"Carnegie Classification 2018: Undergraduate Profile (HD2020)","9","Four-year, medium full-time , selective, higher transfer-in"
"Carnegie Classification 2018: Undergraduate Profile (HD2020)","10","Four-year, full-time, inclusive, lower transfer-in"
"Carnegie Classification 2018: Undergraduate Profile (HD2020)","11","Four-year, full-time, inclusive, higher transfer-in"
"Carnegie Classification 2018: Undergraduate Profile (HD2020)","12","Four-year, full-time, selective, lower transfer-in"
"Carnegie Classification 2018: Undergraduate Profile (HD2020)","13","Four-year, full-time, selective, higher transfer-in"
"Carnegie Classification 2018: Undergraduate Profile (HD2020)","14","Four-year, full-time, more selective, lower transfer-in"
"Carnegie Classification 2018: Undergraduate Profile (HD2020)","15","Four-year, full-time, more selective, higher transfer-in"
"Carnegie Classification 2018: Undergraduate Profile (HD2020)","0","Not classified (Exclusively Graduate)"
"Carnegie Classification 2018: Undergraduate Profile (HD2020)","-2","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)"
"Carnegie Classification 2018: Enrollment Profile (HD2020)","1","Exclusively undergraduate two-year"
"Carnegie Classification 2018: Enrollment Profile (HD2020)","2","Exclusively undergraduate four-year"
"Carnegie Classification 2018: Enrollment Profile (HD2020)","3","Very high undergraduate"
"Carnegie Classification 2018: Enrollment Profile (HD2020)","4","High undergraduate"
"Carnegie Classification 2018: Enrollment Profile (HD2020)","5","Majority undergraduate"
"Carnegie Classification 2018: Enrollment Profile (HD2020)","6","Majority graduate"
"Carnegie Classification 2018: Enrollment Profile (HD2020)","7","Exclusively graduate"
"Carnegie Classification 2018: Enrollment Profile (HD2020)","-2","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)"
"Carnegie Classification 2018: Size and Setting (HD2020)","1","Two-year, very small"
"Carnegie Classification 2018: Size and Setting (HD2020)","2","Two-year, small"
"Carnegie Classification 2018: Size and Setting (HD2020)","3","Two-year, medium"
"Carnegie Classification 2018: Size and Setting (HD2020)","4","Two-year, large"
"Carnegie Classification 2018: Size and Setting (HD2020)","5","Two-year, very large"
"Carnegie Classification 2018: Size and Setting (HD2020)","6","Four-year, very small, primarily nonresidential"
"Carnegie Classification 2018: Size and Setting (HD2020)","7","Four-year, very small, primarily residential"
"Carnegie Classification 2018: Size and Setting (HD2020)","8","Four-year, very small, highly residential"
"Carnegie Classification 2018: Size and Setting (HD2020)","9","Four-year, small, primarily nonresidential"
"Carnegie Classification 2018: Size and Setting (HD2020)","10","Four-year, small, primarily residential"
"Carnegie Classification 2018: Size and Setting (HD2020)","11","Four-year, small, highly residential"
"Carnegie Classification 2018: Size and Setting (HD2020)","12","Four-year, medium, primarily nonresidential"
"Carnegie Classification 2018: Size and Setting (HD2020)","13","Four-year, medium, primarily residential"
"Carnegie Classification 2018: Size and Setting (HD2020)","14","Four-year, medium, highly residential"
"Carnegie Classification 2018: Size and Setting (HD2020)","15","Four-year, large, primarily nonresidential"
"Carnegie Classification 2018: Size and Setting (HD2020)","16","Four-year, large, primarily residential"
"Carnegie Classification 2018: Size and Setting (HD2020)","17","Four-year, large, highly residential"
"Carnegie Classification 2018: Size and Setting (HD2020)","18","Exclusively graduate/professional"
"Carnegie Classification 2018: Size and Setting (HD2020)","-2","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)"
"Carnegie Classification 2018: Basic (HD2020)","1","Associate's Colleges: High Transfer-High Traditional"
"Carnegie Classification 2018: Basic (HD2020)","2","Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional"
"Carnegie Classification 2018: Basic (HD2020)","3","Associate's Colleges: High Transfer-High Nontraditional"
"Carnegie Classification 2018: Basic (HD2020)","4","Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional"
"Carnegie Classification 2018: Basic (HD2020)","5","Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional"
"Carnegie Classification 2018: Basic (HD2020)","6","Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional"
"Carnegie Classification 2018: Basic (HD2020)","7","Associate's Colleges: High Career & Technical-High Traditional"
"Carnegie Classification 2018: Basic (HD2020)","8","Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional"
"Carnegie Classification 2018: Basic (HD2020)","9","Associate's Colleges: High Career & Technical-High Nontraditional"
"Carnegie Classification 2018: Basic (HD2020)","10","Special Focus Two-Year: Health Professions"
"Carnegie Classification 2018: Basic (HD2020)","11","Special Focus Two-Year: Technical Professions"
"Carnegie Classification 2018: Basic (HD2020)","12","Special Focus Two-Year: Arts & Design"
"Carnegie Classification 2018: Basic (HD2020)","13","Special Focus Two-Year: Other Fields"
"Carnegie Classification 2018: Basic (HD2020)","14","Baccalaureate/Associate's Colleges: Associate's Dominant"
"Carnegie Classification 2018: Basic (HD2020)","15","Doctoral Universities: Very High Research Activity
"
"Carnegie Classification 2018: Basic (HD2020)","16","Doctoral Universities: High Research Activity
"
"Carnegie Classification 2018: Basic (HD2020)","17","Doctoral/Professional Universities
"
"Carnegie Classification 2018: Basic (HD2020)","18","Master's Colleges & Universities: Larger Programs"
"Carnegie Classification 2018: Basic (HD2020)","19","Master's Colleges & Universities: Medium Programs"
"Carnegie Classification 2018: Basic (HD2020)","20","Master's Colleges & Universities: Small Programs"
"Carnegie Classification 2018: Basic (HD2020)","21","Baccalaureate Colleges: Arts & Sciences Focus"
"Carnegie Classification 2018: Basic (HD2020)","22","Baccalaureate Colleges: Diverse Fields"
"Carnegie Classification 2018: Basic (HD2020)","23","Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's"
"Carnegie Classification 2018: Basic (HD2020)","24","Special Focus Four-Year: Faith-Related Institutions"
"Carnegie Classification 2018: Basic (HD2020)","25","Special Focus Four-Year: Medical Schools & Centers"
"Carnegie Classification 2018: Basic (HD2020)","26","Special Focus Four-Year: Other Health Professions Schools"
"Carnegie Classification 2018: Basic (HD2020)","27","Special Focus Four-Year: Engineering Schools"
"Carnegie Classification 2018: Basic (HD2020)","28","Special Focus Four-Year: Other Technology-Related Schools"
